"Localidad";"Tipo_gas";"Descripcion";"fecha";"valor";"anio";"mes"
"Tolhuin";"Gas de red";"Promedio de usuarios";1998-08-01;311;1998;8
"Tolhuin";"Gas de red";"M3";1998-08-01;293000;1998;8
"Rio Grande";"Gas de red";"Promedio de usuarios";1998-09-01;13469;1998;9
"Rio Grande";"Gas de red";"M3";1998-09-01;16270000;1998;9
"Rio Grande";"Gas envasado";"Cantidad de garrafas (10 kg.)";1998-09-01;172;1998;9
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";1998-09-01;-9;1998;9
"Rio Grande";"Gas envasado";"Cantidad de cilindros (30 kg.)";1998-09-01;-9;1998;9
"Rio Grande";"Gas envasado";"Cantidad de cilindros (45 kg.)";1998-09-01;544;1998;9
"Rio Grande";"Gas envasado";"Granel (kg.)";1998-09-01;-9;1998;9
"Ushuaia";"Gas de red";"Promedio de usuarios";1998-09-01;11853;1998;9
"Ushuaia";"Gas de red";"M3";1998-09-01;10307423;1998;9
"Ushuaia";"Gas envasado";"Cantidad de garrafas (10 kg.)";1998-09-01;8474;1998;9
"Ushuaia";"Gas envasado";"Cantidad de garrafas (15 kg.)";1998-09-01;-9;1998;9
"Ushuaia";"Gas envasado";"Cantidad de cilindros (30 kg.)";1998-09-01;-9;1998;9
"Ushuaia";"Gas envasado";"Cantidad de cilindros (45 kg.)";1998-09-01;1534;1998;9
"Ushuaia";"Gas envasado";"Granel (kg.)";1998-09-01;-9;1998;9
"Tolhuin";"Gas de red";"Promedio de usuarios";1998-09-01;311;1998;9
"Tolhuin";"Gas de red";"M3";1998-09-01;320000;1998;9
"Rio Grande";"Gas de red";"Promedio de usuarios";1998-10-01;13479;1998;10
"Rio Grande";"Gas de red";"M3";1998-10-01;14893000;1998;10
"Rio Grande";"Gas envasado";"Cantidad de garrafas (10 kg.)";1998-10-01;196;1998;10
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";1998-10-01;-9;1998;10
"Rio Grande";"Gas envasado";"Cantidad de cilindros (30 kg.)";1998-10-01;-9;1998;10
"Rio Grande";"Gas envasado";"Cantidad de cilindros (45 kg.)";1998-10-01;560;1998;10
"Rio Grande";"Gas envasado";"Granel (kg.)";1998-10-01;-9;1998;10
